timestamp,level,request_type,client_ip,endpoint,status,latency_ms,user,user_id,application_type,request_payload,message
2025-08-21T04:16:04.805+05:30,INFO,PUT,214.209.165.185,/health,200,91,walter,ZudnrYm8gKKypfTaBeJlWsJiIB2YIiNPp4ZE30O4BS3PKofEdw1QcNQlvPhh7kHL,mobile-android,,PUT /health handled successfully with status 200
2025-08-18T03:40:17.850+05:30,INFO,DELETE,72.221.47.121,/api/v1/users/3665,201,100,walter,3angpgI6MXHN39CCL9fId5uq72tnwyYIfOmO89cJBIEHNit2wabYvq9mi2hfdbyB,web,,DELETE /api/v1/users/3665 handled successfully with status 201
2025-08-24T16:14:25.027+05:30,INFO,GET,103.207.58.22,/api/v1/orders,200,283,grace,0LcAj7yLHCCHDkWzkpEwNWdrFrQbEkTtE1WqIWOp23ZCflX3e9b2TpQTIhw9z6dj,mobile-android,,GET /api/v1/orders handled successfully with status 200
2025-08-21T09:04:23.095+05:30,WARN,GET,103.207.58.22,/api/v1/orders,429,50,judy,lPo7emSdOT0YdhpRX7wR84rQRQTBRmexQnEvGR1raJIP5zbw4LNr0LRCV5XY0JN6,batch-job,,Rate limit approaching for GET /api/v1/orders
2025-08-17T23:29:35.561+05:30,INFO,POST,138.79.174.219,/api/v1/login,204,185,peggy,8rXrYrkVcpM0sGiro6ytWOcZH9CXFIoUMgODMmHSp8nIrHz7w6SajEVzxt9LrHi4,batch-job,"{""username"": ""peggy"", ""remember_me"": false}",POST /api/v1/login handled successfully with status 204
2025-08-12T23:25:38.726+05:30,INFO,PATCH,212.44.74.26,/api/v1/books/4625,200,234,peggy,XIyrsG3Z3yKTamlxviRutBnLfxtub1g9fav7EOY2dZvDhwpH4PpZZkiXVCB6HRev,partner-api,,PATCH /api/v1/books/4625 handled successfully with status 200
2025-08-12T19:51:30.343+05:30,INFO,GET,11.38.101.159,/api/v1/books/3173,201,119,grace,si51oAqAGSgSgQ0VfcefRyNsiT8t2a1VVzWsuN63j1u72yJh5KQYAJM3pNi0Mrqh,web,,GET /api/v1/books/3173 handled successfully with status 201
2025-08-15T02:40:28.845+05:30,INFO,GET,213.117.214.208,/api/v1/checkout,204,179,mallory,7NlrSRRDfm8jY3AxhxFPM9T9XpiW82mYkkJjTV553lomomdeZrVNCBYCVq0erLl5,web,,GET /api/v1/checkout handled successfully with status 204
2025-08-14T22:03:13.297+05:30,WARN,GET,140.197.26.41,/api/v1/books,429,150,frank,H3QQyf1HdajMdPL42JiOlemkVgaLHM534CY7PEuZ0moOD6N1QVOccrSHcV69w2ng,mobile-android,,Rate limit approaching for GET /api/v1/books
2025-08-11T13:07:17.424+05:30,WARN,DELETE,191.213.49.73,/api/v1/orders,301,91,alice,gieDs5H5bw4F0D7TUXtKqwgB9jfM4PwxVO9001gCdpeuR1ZvxHmHR7vM4UW7t3ME,partner-api,,Rate limit approaching for DELETE /api/v1/orders
